merchantname,category
KFC Kemang,Makanan & Minuman
Ayam Goreng OM BOZZ,Makanan & Minuman
KFC,Makanan & Minuman
Wendy's,Makanan & Minuman
Shangrila,Hiburan
Lapangan Futsal Sangrila Indah II Kampung Sawah,Hobi & Gaya Hidup
Synthesis Communications Indonesia,Belanja
Bni,Uang Keluar
TOKO SEPEDA WANGSA,Hobi & Gaya Hidup
GraPARI Telkomsel Wisma Alia,Uang Keluar
Rental mobil avanza,Transportasi
Singkong Keju Pak D'Bong,
McDonald's Ambarukmo,
KFC,
Janji Jiwa Ungaran,
KFC,
"Limau, Jatibening - Ranting 70",Makanan & Minuman
KFC Tugu Tani,Makanan & Minuman
"Nasi Ayam ORI, Menteng",Makanan & Minuman
Shangrila Fashion,Belanja
Ridho syn exchanger,Uang Keluar
BNI MM2100,Uang Keluar
Toko Sepeda Dhoho Jaya Abadi,Hobi & Gaya Hidup
"- "" Toko Bu Tulus "" ( Ismi )",Uang Keluar
Warkop Avanza 1,Transportasi
Singkong Keju Bayangkara,
McDonald's Sudirman Jogja,
KFC PAK EDY,
Kopi Janji Jiwa Jakal,
KFC Box SPBU Viktor Serpong,
Pizza Hut Ristorante,
McDonald's Simatupang Tanjung Barat,
SOTO AYAM NASI RAWON PAK HAJI,
Center Point (ex Vanilla Cafe),
Shangrila Bak Pau Restaurant,Makanan & Minuman
Ayam Sorry (Geprek & Penyet),Makanan & Minuman
KFC Food Avenue Lotte Kuningan,Makanan & Minuman
Ayam bakar TAUFIK BAROKAH,Makanan & Minuman
Wendy's,Makanan & Minuman
SYN BEAUTY,Perawatan Diri
Bni,Uang Keluar
Toko Sepeda Prijaya,Hobi & Gaya Hidup
PT Ezeelink Indonesia,Uang Keluar
Parkiran mobil avanza,Transportasi
"Singkong Keju Legenda, Laweyan",
parkiran mcd,
KFC Manahan,
Kopi Janji Jiwa Manahan,
KFC Puspitek Serpong,
Janji Jiwa & Jiwa Toast x Joomba,
Pizza Hut Ristorante,
Mekdi ice cream 1,
Sate HM.Holil dan Milkshake Buckspeed,
COFFEE TO BREW,
SYN Synaps Klinik Anak dan Stroke,Kesehatan
JIA,Makanan & Minuman
"70 Mae La Komae Suites - Kopi Pak Dhe, LSII & Juridique",Makanan & Minuman
Ayam Goreng Suharti,Makanan & Minuman
KFC Wisma BNI 46 Jakarta,Makanan & Minuman
KFC,Makanan & Minuman
Wendy's,Makanan & Minuman
ATM Link BNI Alfamidi,Uang Keluar
Lima saudara bicycle store,Hobi & Gaya Hidup
PT Arina Multi Karya,Uang Keluar
Warung Nasi Mobil Avanza,Transportasi
Singkong Keju Juuooosh,
McDonald's Slamet Riyadi,
KFC Solo Paragon,
KFC,
Kopi Janji Jiwa Saharjo Jilid 22,
Pizza Hut Restoran - Matraman Raya,
McDonald's Pondok Cabe,
Sate Lamongan,
Taichan Satay Barkah Kebon Sirih,
KFC Tanjung Duren,Makanan & Minuman
Ayam Bakar Semestha,Makanan & Minuman
KFC HALTE GAMBIR,Makanan & Minuman
KFC,Makanan & Minuman
Taman Shangrila Indah Unit 1,Hiburan
BNI,Uang Keluar
Toko Sepeda ORI BIKE,Hobi & Gaya Hidup
Rental Mobil Avanza Murah,Transportasi
Singkong Keju,
McDonald's The Park Solo Baru,
KFC Solo Baru,
Soto Ayam Ambengan,
Aurora Sate Padang,
Shangrila Indah II,Hiburan
Ayam Penyet Cabe Ijo NineTeen,Makanan & Minuman
KFC,Makanan & Minuman
Sorry aku udh punya pacar,Uang Keluar
ATM BNI SPBU Tambun,Uang Keluar
Venska toko sepeda,Hobi & Gaya Hidup
Grha BNI,Uang Keluar
Lenna.ai - PT. Sinergi Digital Teknologi,Uang Keluar
Singkong keju salma,
McDonald's Manahan Solo,
KFC Solo Square,
Janji Jiwa Coffee - Salatiga,
KFC Buaran,
Janji Jiwa coffee and Jiwa Toast,
Soto Ayam Ghedor,
Sate Pak Kanto Sejak 1970an,
Sate Madura Cak Rohman,
Nishimura,Makanan & Minuman
Singkong Merdeka,
Mushola mcd,
KFC,Makanan & Minuman
Ayam bakar dan ayam kremes pak amin,Makanan & Minuman
Bubur Ayam Nano Cirebon,Makanan & Minuman
Warung Ijo,Makanan & Minuman
KFC,
Kopi Janji Jiwa Jilid 339,
Kopi Janji Jiwa Balai Kota Jakarta,Makanan & Minuman
Pizza Hut Restoran,
Ayam Bakar Suka Suka,Makanan & Minuman
Kopi Janji Jiwa Tomohon,Makanan & Minuman
McDonald's Ciater Raya,
Soto Ayam Ambengan Pak Sadi,
SATE GO,
SYN Films,Hiburan
Barbershop 70 Hen Tanamo,Perawatan Diri
PLN Enjiniring (PLNE),Tagihan
BAYAR LISTRIK PAM TELEPON BPJS ANGSURAN ISI PULSA TOKEN LISTRIK ISI OVO ISI GOPAY,Tagihan
Adapundi,Pinjaman
ATM BNI,Uang Keluar
Toko Sepeda Lancar Jaya,Hobi & Gaya Hidup
Pojok Pulsa Elektrik Murah - Distributor Pulsa Jakarta,Tagihan
Syn Print,Belanja
SYN Art Ink Tattoo - jkt,Hobi & Gaya Hidup
SMPN 70 Jakarta,Pendidikan
PT PLN (Persero) UP3 Lenteng Agung,Tagihan
"Pulsa all operator, Token PlN, listrik",Tagihan
KFC,Makanan & Minuman
Bubur Ayam H. Hadi,Makanan & Minuman
Ayam Penyet Sambel Ijo Bang H. Iis,Makanan & Minuman
KFC S.Parman,Makanan & Minuman
PT amalan international indonesia,Pinjaman
BNI Tambun,Uang Keluar
Janji Jiwa jilid 55,Makanan & Minuman
KFC,Makanan & Minuman
Starbucks Citywalk Sudirman,Makanan & Minuman
Toko Sepedah,Hobi & Gaya Hidup
Ayam goreng Mana Suka,Makanan & Minuman
STARBUCKS Muroran Shop,Makanan & Minuman
Bukalapak Engineering Office,Belanja
Toko Cat Avanza Cipayung,Transportasi
Singkong Keju Sagan(ꦱꦶꦁꦏꦺꦴꦁꦏꦺꦗꦸꦱꦒꦤ꧀),
McDonald's Sultan Agung,
Wendy's,Makanan & Minuman
Shangrila,Hiburan
Shangrila Jaya Wood Products,Belanja
KFC Harlin,
Janji jiwa 338 lantai 1,
SATOO,Makanan & Minuman
SYN’s,Hiburan
Bb no 70,Uang Keluar
PLN Unit Pelaksana Pelayanan Pelanggan (UP3) Bandengan,Tagihan
"Jual pulsa, Token Listrik, dan Tagihan",Tagihan
KFC Atrium Senen,Makanan & Minuman
Bubur Ase Bang Lopi,Makanan & Minuman
IJO Sustainable,Makanan & Minuman
KFC,Makanan & Minuman
Pinjam Yuk - PT Kuaikuai Tech Indonesia,Pinjaman
Bank BNI Grand Wisata,Uang Keluar
Janji Jiwa,Makanan & Minuman
Starbucks Kemanggisan Raya,Makanan & Minuman
Toko Sepeda Tanah Mas,Hobi & Gaya Hidup
Ayam Bakar Mama Suka,Makanan & Minuman
Kopi Janji Jiwa Jilid 103 Kotabaru,Makanan & Minuman
Starbucks Coffee - New Chitose Airport,Makanan & Minuman
ATM BNI,Uang Keluar
PT. NUSA SATU INTI ARTHA,Top Up
Sewa Avanza Palmerah,Transportasi
Singkong Keju LEGENDA Kartasura,
McDonald's (Kaliurang),
Shangrila Furniture Indonesia,Belanja
SYN Studio,Hiburan
KFC Pakuwon Mall Solo Baru,
BNI CIBITUNG,Uang Keluar
SpinWarriors Plaza Timor,Hobi & Gaya Hidup
ATM LINK,Uang Keluar
KFC Daan Mogot,Makanan & Minuman
Ayam Penyet MAMI,Makanan & Minuman
Bubur Ayam Wempy,Makanan & Minuman
AYAM PENYET ABANG IJO IBU ROS,Makanan & Minuman
KFC Gunawarman,Makanan & Minuman
Avanza Cell,Transportasi
"Singkong Keju ""MELETUS"" Bramen",
Janji Jiwa X All Season,Makanan & Minuman
Starbucks,Makanan & Minuman
McDonald's Jebres Solo,
"Kopi Janji Jiwa & Jiwa Toast, Patimura",Makanan & Minuman
"Starbucks Coffee - Sapporo, Books Kinokuniya",Makanan & Minuman
Kfc,
Kopi Janji Jiwa Jilid 635 Karanganyar,
Pizza Hut,
SATE AYAM KAMBING SUROMADU ( PAK AJI SHOLEH),
Senyan Central,Hiburan
Syn Tingwe 2,Belanja
Smp Negeri 70,Pendidikan
PT PLN Indonesia Power Kantor Pusat,Tagihan
Fastpay Pembayar Listrik Dll,Tagihan
"Danai.id - P2P Lending, Pinjaman Karyawan, dan Pendanaan",Pinjaman
Kopi Janji Jiwa & Jiwa Toast 404 UMS,
KFC AEON Mall BSD City,
Memek Goreng Mas ireng,
KFC,Makanan & Minuman
Bubur Ayam Asiatic,Makanan & Minuman
Pisang Ijo Cendana,Makanan & Minuman
KFC,Makanan & Minuman
Pizza Hut Delivery - PHD Indonesia,
Warung Mini,Makanan & Minuman
Kopi Janji Jiwa Tanah Abang,Makanan & Minuman
Starbucks S. Parman,Makanan & Minuman
Soto Ayam & Ceker,
Mama Qu suka fried chicken,Makanan & Minuman
"Kopi Janji Jiwa Jilid 57, 17 Agustus",Makanan & Minuman
Starbucks Coffee - Hakodate Bayside,Makanan & Minuman
WARKOP KELONTONG LINK AJA,Makanan & Minuman
Sate Madura Pak Sam'un,
Wendy's,Makanan & Minuman
SYN A2Z Autocare,Transportasi
Tokoqu SyN,Belanja
"""To Na 70""",Uang Keluar
PT PLN (Persero) Engineering Services Gunung Sahari,Tagihan
Asosiasi Fintech Pendanaan Bersama Indonesia (AFPI),Pinjaman
Sekretariat AVANZA OWNERS INDONESIA,Transportasi
"Sate & Seafood Senayan, Kebon Sirih",
Warung Mekdi,
soto Ayam Ceker Suroboyo Mas Iqbal,
KFC Lokasari Plaza,Makanan & Minuman
Bubur Ayam Mas Aris,Makanan & Minuman
Sate ayam & kambing theresia,
Warung Pak Rahmat (Sate dan Sop Kambing),
Kopi Janji Jiwa Thamrin City,Makanan & Minuman
KFC Plaza Senayan,Makanan & Minuman
Starbucks,Makanan & Minuman
Janji Jiwa & Jiwa Toast Sutomo Tower,Makanan & Minuman
Starbucks Coffee - Sapporo PARCO,Makanan & Minuman
Syn Tingwe agen tembakau,Hobi & Gaya Hidup
State Senior High School 70 of Jakarta,Pendidikan
"Jual beli PS 3, PS 4, PS 5 Nitendo, steam Deck, X Box, ROG ally (Sejahtera Gadget Store)",Hobi & Gaya Hidup
PLN GIS Karet Baru,Tagihan
Bayar PLN / Token Listrik,Tagihan
Kredito,Pinjaman
SEWA MOBIL AVANZA DLL,Transportasi
AkunVIP - Netflix Premium Indonesia,
KFC,
Pizza Hut,
Ayam Goreng Sekandang Menteng,Makanan & Minuman
Bubur Ayam Parkiran,Makanan & Minuman
Mie Ayam Solo Sambal Ijo Belakang GI (Grand Indonesia),Makanan & Minuman
Kopi Janji Jiwa Cikini Jilid 152,Makanan & Minuman
Suka Suka Fried chiken,Makanan & Minuman
Popeye's,Makanan & Minuman
Janji Jiwa,Makanan & Minuman
Starbucks Coffee - Hakodate Goryokaku Station,Makanan & Minuman
Djakarta Cafe,Makanan & Minuman
Syn Betta Collections,Belanja
Kost Bungur 70,Tagihan
PT PLN (Persero) Kantor Pusat,Tagihan
Kantor Fungsional Tunaiku,Pinjaman
McDonald's Cipondoh,
Sate Padang Didong,
Bubur ayam pak Gendut,Makanan & Minuman
Kelapa Muda Ijo,Makanan & Minuman
Kopi Janji Jiwa Menteng Huis,Makanan & Minuman
Warung makan suka,Makanan & Minuman
Janji Jiwa Cipayung,Makanan & Minuman
Starbucks Coffee - Hakodate Tsutaya Books,Makanan & Minuman
New Memories Cafe,Makanan & Minuman
Syn Tingwe 3,Belanja
Kost 70,Tagihan
Bali,Uang Keluar
PLN Unit Pelaksana Pelayanan Pelanggan Bulungan,Tagihan
Listrik Pintar,Tagihan
danabijak,Pinjaman
McDonald's Citra Garden 7,
Warung Sate Pak Holil,
Nasi Ayam Dewata PIK,
Bali Timbungan Mahakam,
Bubur Ayam Bang Udin,Makanan & Minuman
Nasi cabe Ijo Mbak Nik,Makanan & Minuman
Warung Nasi Mama Suka,Makanan & Minuman
Kopi Janji Jiwa,Makanan & Minuman
Starbucks Coffee - Sapporo Stellar Place Center 1F,Makanan & Minuman
The People's Cafe,Makanan & Minuman
Beauty And Brow By SYN,Perawatan Diri
70 Mobilindo,Transportasi
PLN Distribusi Jakarta Raya,Tagihan
McDonald's Citra Garden 6,
Sate Pak Holis,
Bubur Ayam Cianjur Bang Edy,Makanan & Minuman
Ayam Penyet Cabe Ijo Ibu Ros,Makanan & Minuman
Ayam goreng suka suka,Makanan & Minuman
Kopi Janji Jiwa Jilid 360,Makanan & Minuman
Starbucks Coffee - Share Star Hakodate,Makanan & Minuman
Kopinette,Makanan & Minuman
Showroom Syn Motor,Transportasi
KOST KJB 70,Tagihan
ALAM House hacker cukimay,Uang Keluar
PT PLN (Persero) SPI Inspektorat Kantor Pusat,Tagihan
AdaKami,Pinjaman
McDonald's KH Hasyim Ashari - Nerogtog,
Fore Coffee - Summarecon Mall Serpong,
MCD Dunia Fantasi,
sea food 70,Makanan & Minuman
Janji Jiwa & Jiwa Toast Sudirman Park,Makanan & Minuman
KFC,Makanan & Minuman
Warung Suka Suka By: Mama Ajeng,Makanan & Minuman
Starbucks Coffee Hirosaki Park Front Store,Makanan & Minuman
SGNG coffee shop,Makanan & Minuman
SYN Project,Belanja
Solusiku,Pinjaman
McDonalds Duta Garden,
Soto Betawi Bu Yanti,
Sotomie Pak Min Cikini,
Sorry Clothing,Belanja
Aa K@$eP.70,Uang Keluar
"McDonald's, Alam Sutera",
Sate babi uda rizal,Makanan & Minuman
Sate Babi Asien,Makanan & Minuman
Sate Babi Pelangi,Makanan & Minuman
Sate Babi dan Bakut Kapuk Sejak 1978,Makanan & Minuman
Sate Babi Juju,Makanan & Minuman
Sate babi Ci Yeni,Makanan & Minuman
Sate Babi & Sop Bakut 89 Sunter,Makanan & Minuman
Sate Babi Akhim,Makanan & Minuman
Sate & Bakut Babi Aladin,Makanan & Minuman
Sate Babi Gading Permai,Makanan & Minuman
Nasi Campur & Sate Babi Pasar Puri Indah,Makanan & Minuman
Sate babi manis legendaris,Makanan & Minuman
Pak Kumis Soto Betawi Food Court,Makanan & Minuman
"Soto Mie Pak Kumis, BNI Fatmawati",Makanan & Minuman
Waroeng Pak Kumis,Makanan & Minuman
Soto ayam pak kumis slipi,Makanan & Minuman
Soto Betawi Pak Kumis Cab2,Makanan & Minuman
Soto Betawi Pak Kumis,Makanan & Minuman
Soto Ayam Pak Kumis Slipi Kemanggisan,Makanan & Minuman
Soto Mie Pak kumis Rawamangun,Makanan & Minuman
Soto Lamongan Pak Kumis,Makanan & Minuman
Soto Mie Pak Kumis,Makanan & Minuman
Soto Banyumas Pak Kumis,Makanan & Minuman
Sop dan Soto Betawi Pak Kumis,Makanan & Minuman
Soto Mie Khas Bogor (Pak Kumis),Makanan & Minuman
"Sate & Soto Ayam ""Pak Kumis"" Asli Madura",Makanan & Minuman
McDonald's Puri Kembangan,
"Soto Mie Pak Kumis Angke ""Original""",Makanan & Minuman
SOto Mie Bogor Pak Kumis,Makanan & Minuman
Soto ceker pak kumis,Makanan & Minuman
Pecel Madiun Babeh,Makanan & Minuman
Pecel JPO Patra,Makanan & Minuman
Pecel Ayam Pedurenan,Makanan & Minuman
Pecel Palem khas Malang,Makanan & Minuman
PECEL AYAM TUMBUK SAMBEL PEDES MAMPUS,Makanan & Minuman
Pecel ayam Bu mia,Makanan & Minuman
Pecel Lele 99 Sulaiman,Makanan & Minuman
Pecel Lele Bu dhe,Makanan & Minuman
Pecel Ayam Ibu Sumariah,Makanan & Minuman
Pecel ayam mpo ati,Makanan & Minuman
Warung pecel mba ela,Makanan & Minuman
Pecel Lele 4 Sekawan,Makanan & Minuman
pecel ayam mbak ammi,Makanan & Minuman
"Pecel Pincuk ""Bangor"", outlet. Kuningan Barat",Makanan & Minuman
PONDOK PECEL BLITAR,Makanan & Minuman
Pecel ayam Krenyes Al fatih,Makanan & Minuman
Pecel Ayam Putra Tuban,Makanan & Minuman
Sego Pecel Suroboyo Cak Mail,Makanan & Minuman
Pecel Lele Dewandaru | Pecel Lele Setiabudi | Pecel Lele Karet Kuningan,Makanan & Minuman
Pecel Ayam H. Hendro,Makanan & Minuman
Ramen ya!,Makanan & Minuman
"Rame n Rame, Setiabudi",Makanan & Minuman
POP Tengoku Red Lily Hair Salon,Makanan & Minuman
McDonald's,Makanan & Minuman
RameRame Ramen Plaza Festival,Makanan & Minuman
Tazawa Ramen,Makanan & Minuman
Ramen 1 | Kuningan City,Makanan & Minuman
Yoise ramen,Makanan & Minuman
YOISHO,Makanan & Minuman
Ramen For The Soul,Makanan & Minuman
Roji Ramen RDTX Kuningan,Makanan & Minuman
Ultramen - One Satrio,Makanan & Minuman
"Marutama Ra-men, Lotte Shopping Avenue",Makanan & Minuman
Bariuma Ramen - Setiabudi One,Makanan & Minuman
Yamato Ramen,Makanan & Minuman
Rama Ramen Santa,Makanan & Minuman
Ikkudo Ichi Mall Kota Kasablanka,Makanan & Minuman
ＰＯＰくらぶ,Makanan & Minuman
McDonald's Mutsu Central,Makanan & Minuman
McDonald's Daan Mogot Mall,
Bali Timbungan Sarinah,
KFC,Makanan & Minuman
O'delice cafe,Makanan & Minuman
Nike,Belanja
Hans & Me,Belanja
PT Indonesia Strings,Hobi & Gaya Hidup
Seventh String,Hobi & Gaya Hidup
STRING INDSTRS,Hobi & Gaya Hidup
Guitar String Line Liga Bintang,Hobi & Gaya Hidup
JKB STRING,Hobi & Gaya Hidup
Toko Gitar Kota Tangerang R7,Hobi & Gaya Hidup
AGS CUSTOM STRINGS,Hobi & Gaya Hidup
Utama Sport,Hobi & Gaya Hidup
Strings Strong,Hobi & Gaya Hidup
Nui Strings,Hobi & Gaya Hidup
Nike,Belanja
McDonald's Strada Tangerang,
KFC Summarecon Mall Serpong,Makanan & Minuman
KFC Kisamaun,Makanan & Minuman
KFC Alam Sutera,Makanan & Minuman
MENYA-UKI,Makanan & Minuman
McDonald's Nippon Life Insurance Bldg. Underground Branch,Makanan & Minuman
McDonald's Sapporo Susukino,Makanan & Minuman
Pizza Hut Delivery - PHD Indonesia,Makanan & Minuman
Kfc Golden Trully,Makanan & Minuman
hans kitchen,Makanan & Minuman
KFC BSD Plaza,Makanan & Minuman
The Coffee Mine,Makanan & Minuman
String Official Store,Hobi & Gaya Hidup
McDonald's Hakodate Matsukaze,Makanan & Minuman
Pizza Hut Delivery - PHD Indonesia,Makanan & Minuman
Popeyes Kelapa Gading,Makanan & Minuman
Starbucks Menteng Huis,Makanan & Minuman
McDonald's Kramat Raya,Makanan & Minuman
Hans Fresh Milk,Makanan & Minuman
Bogor Cafe,Makanan & Minuman
NIKE Senayan City,Belanja
McDonald's,
